epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,212.741,0.95036,0.95084,0.9547,0.53079,0.47212,0.55099,0.29683,1.72499,2.0073,1.29553,0.000821,0.000821,0.000821
106,214.641,0.97799,0.90039,0.96088,0.53079,0.47212,0.55099,0.29683,1.72499,2.0073,1.29553,0.000816875,0.000816875,0.000816875
107,216.691,1.12946,0.98835,0.96859,0.53079,0.47212,0.55099,0.29683,1.72499,2.0073,1.29553,0.00081275,0.00081275,0.00081275
108,218.657,1.02944,1.01529,0.99477,0.58158,0.50835,0.58129,0.31535,1.73813,1.97295,1.31136,0.000808625,0.000808625,0.000808625
109,220.624,0.98905,0.89081,0.92623,0.58158,0.50835,0.58129,0.31535,1.73813,1.97295,1.31136,0.0008045,0.0008045,0.0008045
110,222.577,0.99477,0.87036,0.91677,0.58158,0.50835,0.58129,0.31535,1.73813,1.97295,1.31136,0.000800375,0.000800375,0.000800375
111,224.578,1.03661,0.89814,0.93771,0.58158,0.50835,0.58129,0.31535,1.73813,1.97295,1.31136,0.00079625,0.00079625,0.00079625
112,226.607,1.00008,0.93405,0.96668,0.59026,0.50423,0.59503,0.33026,1.63019,1.9117,1.25579,0.000792125,0.000792125,0.000792125
113,228.752,0.96081,0.93769,0.98359,0.59026,0.50423,0.59503,0.33026,1.63019,1.9117,1.25579,0.000788,0.000788,0.000788
114,230.791,0.99569,0.94971,0.9687,0.59026,0.50423,0.59503,0.33026,1.63019,1.9117,1.25579,0.000783875,0.000783875,0.000783875
115,232.826,0.87375,0.8459,0.90934,0.59026,0.50423,0.59503,0.33026,1.63019,1.9117,1.25579,0.00077975,0.00077975,0.00077975
116,234.843,0.99497,0.90311,0.972,0.57749,0.45613,0.55442,0.33284,1.62264,1.88854,1.24776,0.000775625,0.000775625,0.000775625
117,236.776,0.89019,0.84404,0.93627,0.57749,0.45613,0.55442,0.33284,1.62264,1.88854,1.24776,0.0007715,0.0007715,0.0007715
118,238.746,0.92124,0.83447,0.91204,0.57749,0.45613,0.55442,0.33284,1.62264,1.88854,1.24776,0.000767375,0.000767375,0.000767375
119,240.791,1.05429,0.91603,0.97415,0.57749,0.45613,0.55442,0.33284,1.62264,1.88854,1.24776,0.00076325,0.00076325,0.00076325
120,242.836,1.07111,0.97365,0.90615,0.59175,0.49003,0.57784,0.33418,1.60777,1.818,1.23882,0.000759125,0.000759125,0.000759125
121,244.827,0.9597,0.89768,0.95411,0.59175,0.49003,0.57784,0.33418,1.60777,1.818,1.23882,0.000755,0.000755,0.000755
122,246.876,1.10753,0.97664,0.99196,0.59175,0.49003,0.57784,0.33418,1.60777,1.818,1.23882,0.000750875,0.000750875,0.000750875
123,248.942,1.01875,0.88059,0.93552,0.59175,0.49003,0.57784,0.33418,1.60777,1.818,1.23882,0.00074675,0.00074675,0.00074675
