epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1240.66,0.98613,0.80676,0.93529,0.87347,0.52203,0.53663,0.40008,1.32405,1.65193,1.16681,0.00110928,0.00110928,0.00110928
115,1251.38,0.92882,0.75087,0.91977,0.87347,0.52203,0.53663,0.40008,1.32405,1.65193,1.16681,0.00110645,0.00110645,0.00110645
116,1262.21,0.94549,0.77651,0.93322,0.83802,0.52778,0.52968,0.40684,1.26255,1.69332,1.15135,0.00110362,0.00110362,0.00110362
117,1272.77,0.92619,0.73486,0.94162,0.83802,0.52778,0.52968,0.40684,1.26255,1.69332,1.15135,0.00110079,0.00110079,0.00110079
118,1283.67,0.92592,0.78141,0.93367,0.86416,0.52389,0.54383,0.4175,1.25291,1.68154,1.15375,0.00109796,0.00109796,0.00109796
119,1294.3,0.97221,0.80053,0.93086,0.86416,0.52389,0.54383,0.4175,1.25291,1.68154,1.15375,0.00109513,0.00109513,0.00109513
120,1305.03,0.95742,0.77467,0.93359,0.89733,0.52778,0.53396,0.41789,1.27698,1.69275,1.15607,0.0010923,0.0010923,0.0010923
121,1315.63,0.93987,0.74492,0.92819,0.89733,0.52778,0.53396,0.41789,1.27698,1.69275,1.15607,0.00108947,0.00108947,0.00108947
122,1326.37,0.95263,0.76182,0.92949,0.88784,0.52307,0.53223,0.40395,1.32727,1.71987,1.1705,0.00108664,0.00108664,0.00108664
123,1336.74,0.95304,0.77593,0.93002,0.88784,0.52307,0.53223,0.40395,1.32727,1.71987,1.1705,0.00108381,0.00108381,0.00108381
124,1347.28,0.90218,0.75125,0.93525,0.87826,0.52014,0.53188,0.37893,1.32423,1.72849,1.158,0.00108098,0.00108098,0.00108098
125,1357.86,0.87219,0.71331,0.91388,0.87826,0.52014,0.53188,0.37893,1.32423,1.72849,1.158,0.00107815,0.00107815,0.00107815
126,1368.39,0.92992,0.73952,0.91263,0.91665,0.52778,0.54148,0.39965,1.26553,1.78011,1.15656,0.00107532,0.00107532,0.00107532
127,1379.22,0.93499,0.73952,0.90043,0.91665,0.52778,0.54148,0.39965,1.26553,1.78011,1.15656,0.00107249,0.00107249,0.00107249
128,1390.16,0.90945,0.74966,0.91284,0.90307,0.52494,0.54456,0.40581,1.31753,1.74332,1.1816,0.00106966,0.00106966,0.00106966
129,1400.82,0.91393,0.72024,0.91479,0.90307,0.52494,0.54456,0.40581,1.31753,1.74332,1.1816,0.00106683,0.00106683,0.00106683
130,1411.48,0.96113,0.77869,0.93886,0.90188,0.52778,0.5505,0.41086,1.27831,1.6835,1.16693,0.001064,0.001064,0.001064
131,1422.5,0.90357,0.74381,0.91118,0.90188,0.52778,0.5505,0.41086,1.27831,1.6835,1.16693,0.00106118,0.00106118,0.00106118
132,1433.09,0.95727,0.79071,0.94612,0.92547,0.52583,0.55133,0.39016,1.34742,1.70129,1.18936,0.00105835,0.00105835,0.00105835
133,1443.69,0.94128,0.74321,0.93989,0.92547,0.52583,0.55133,0.39016,1.34742,1.70129,1.18936,0.00105552,0.00105552,0.00105552
134,1454.63,1.0865,0.77621,0.93835,0.92633,0.52778,0.54986,0.38852,1.4369,1.69344,1.21743,0.00105269,0.00105269,0.00105269
135,1465.18,0.94054,0.72179,0.91897,0.92633,0.52778,0.54986,0.38852,1.4369,1.69344,1.21743,0.00104986,0.00104986,0.00104986
136,1475.79,0.99979,0.79254,0.94098,0.92813,0.52778,0.55532,0.39862,1.35194,1.6556,1.20046,0.00104703,0.00104703,0.00104703
137,1486.32,0.93695,0.73438,0.92344,0.92813,0.52778,0.55532,0.39862,1.35194,1.6556,1.20046,0.0010442,0.0010442,0.0010442
138,1497.05,0.96736,0.72982,0.92936,0.93885,0.52654,0.55556,0.42459,1.29063,1.64919,1.17927,0.00104137,0.00104137,0.00104137
139,1507.73,0.96858,0.74934,0.95009,0.93885,0.52654,0.55556,0.42459,1.29063,1.64919,1.17927,0.00103854,0.00103854,0.00103854
140,1518.46,0.90935,0.70943,0.91914,0.94368,0.52622,0.55514,0.41493,1.28438,1.67576,1.1694,0.00103571,0.00103571,0.00103571
141,1529.24,0.93119,0.74838,0.93685,0.94368,0.52622,0.55514,0.41493,1.28438,1.67576,1.1694,0.00103288,0.00103288,0.00103288
142,1540.19,0.91188,0.71496,0.91273,0.95018,0.52394,0.55196,0.41747,1.30591,1.70888,1.1698,0.00103005,0.00103005,0.00103005
143,1550.64,0.89936,0.72596,0.92392,0.95018,0.52394,0.55196,0.41747,1.30591,1.70888,1.1698,0.00102722,0.00102722,0.00102722
144,1561.37,0.91672,0.71848,0.91849,0.8716,0.52778,0.55596,0.41079,1.29115,1.7467,1.14561,0.00102439,0.00102439,0.00102439
